problem,path,repeat,order_position,method,status,rows,columns,nonzeros,presolve,presolve_status,threads,tolerance,internal_tolerance,time_limit,read_seconds,setup_seconds,solve_seconds,postsolve_seconds,total_seconds,process_seconds,iterations,outer_iterations,inner_iterations,factor_seconds,linear_solve_seconds,objective,primal_infeasibility,dual_infeasibility,canonical_rows,canonical_columns,canonical_nonzeros,active_columns,preconditioner_core_min,preconditioner_core_mean,preconditioner_core_max,preconditioner_refreshes,preconditioner_factorizations,preconditioner_retained_mean,preconditioner_symbolic_analyses,preconditioner_retries,preconditioner_full,pcg_iterations,pcg_max_iterations,pcg_failures,low_rank_columns,low_rank_candidate_edges,peak_memory_mb,timing_consistent,solver_version,model_status,run_status,error,relative_gap,complementarity,hsd_residual,tau,kappa,theta,pricing_rounds,columns_added,columns_dropped,proximal_subproblems,proximal_checks,proximal_last_ratio,structure,preconditioner
ds-big,/iridisfs/scratch/sc9c23/mps/ds-big.mps.gz,0,2,psipm-v3,optimal,1042,174997,4623442,off,off,1,1e-06,1e-06,5000.0,4.651120500639081,0.02906275913119316,91.9095517154783,0.013430226594209671,96.60329130664468,96.90288416855037,,81,1173,61.879148392006755,16.882446222007275,86.8200871834636,6.845759794593675e-07,5.202604825987064e-10,1042,174997,4623442,174997,,,,,,,,,,1173,,1,,,1386.78125,True,psipm-v3-hsd-generic-2,,,,2.1797581030073335e-07,1.0978335317841847e-10,6.635378100215982e-07,0.9741569971538452,1.0693532857659905e-10,1.6335342649608246e-12,45,0,0,45,81,0.11112494015388324,generic-sparse,stable-active-column
ds-big,/iridisfs/scratch/sc9c23/mps/ds-big.mps.gz,0,3,highs-ipx,optimal,1042,174997,4623442,off,,1,1e-06,,5000.0,4.668908007442951,0.6544980928301811,158.68429454043508,0.028285862877964973,164.03631684929132,164.33135784231126,71,,,,,86.82007154712252,1.1081915940458487e-09,6.176785858747653e-12,,,,,,,,,,,,,,,,,,,538.828125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
ds,/iridisfs/scratch/sc9c23/mps/ds.mps.gz,0,1,psipm-v3,postsolve-inaccurate,656,67732,1024059,off,off,1,1e-06,1e-06,5000.0,0.8754893280565739,0.00682215578854084,7.407813003286719,0.0032497048377990723,8.293480340391397,8.589748576283455,,53,1,4.275215869769454,0.5091923493891954,57.234627143547925,8.957793085073718e-08,4.95100173661587e-11,656,67732,1024059,67732,,,,,,,,,,1,,0,,,242.2734375,True,psipm-v3-hsd-generic-2,,,"box-model KKT check failed: pinf 8.958e-08, dinf 4.951e-11, gap 1.070e-06",1.0700204952026317e-06,9.021442589596994e-10,3.331518875463474e-09,0.9744560463567493,8.796153174166485e-10,5.407597999304539e-11,37,0,0,37,53,0.029891852929276822,generic-sparse,stable-active-column
ds,/iridisfs/scratch/sc9c23/mps/ds.mps.gz,0,2,highs-ipx,optimal,656,67732,1024059,off,,1,1e-06,,5000.0,0.8653350938111544,0.15096069686114788,12.569542847573757,0.009232908487319946,13.595360228791833,13.8865787088871,44,,,,,57.23456529271912,4.883482507267445e-12,1.1509871529591256e-15,,,,,,,,,,,,,,,,,,,173.6640625,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
ds,/iridisfs/scratch/sc9c23/mps/ds.mps.gz,0,3,highs-hipo,optimal,656,67732,1024059,off,,1,1e-06,,5000.0,0.8565175458788872,0.14808913134038448,5.63968831859529,0.009315134957432747,6.654056392610073,6.947517707943916,37,,,,,57.23456950640014,2.537064039964676e-07,1.534649537278834e-15,,,,,,,,,,,,,,,,,,,223.5234375,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
ivu06-big,/iridisfs/scratch/sc9c23/mps/ivu06-big.mps.gz,0,1,highs-ipx,optimal,1177,2277736,23125770,off,,1,1e-06,,5000.0,25.49427217617631,3.6284001860767603,2065.39827346988,0.330097371712327,2094.8514100685716,2095.1425338406116,121,,,,,135.4277185254628,4.145250809273193e-11,4.0536216358886025e-12,,,,,,,,,,,,,,,,,,,2395.453125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
ivu06-big,/iridisfs/scratch/sc9c23/mps/ivu06-big.mps.gz,0,2,highs-hipo,optimal,1177,2277736,23125770,off,,1,1e-06,,5000.0,26.246381781995296,3.643389044329524,268.64865303225815,0.31632160395383835,298.8552792519331,299.2268710285425,67,,,,,135.427719850949,7.732130713478114e-09,5.695240640043114e-15,,,,,,,,,,,,,,,,,,,4355.39453125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
ivu06-big,/iridisfs/scratch/sc9c23/mps/ivu06-big.mps.gz,0,3,psipm-v3,optimal,1177,2277736,23125770,off,off,1,1e-06,1e-06,5000.0,25.50225282460451,0.20671619288623333,2840.2977870684117,0.10702431574463844,2866.113910716027,2866.412193700671,,168,38796,12.80096030794084,2541.637682473287,135.4277179753356,8.199952863940929e-07,3.612810312486471e-12,1177,2277736,23125770,2277736,,,,,,,,,,38796,,18,,,3948.6015625,True,psipm-v3-hsd-generic-2,,,,6.88167043359127e-10,8.318706570669234e-15,8.141717888886582e-07,0.9931376644616361,8.264296433570803e-15,-2.6732073069607817e-14,38,0,0,38,168,0.6842771841365777,generic-sparse,stable-active-column
ivu06,/iridisfs/scratch/sc9c23/mps/ivu06.mps.gz,0,1,highs-hipo,optimal,1177,787239,8032303,off,,1,1e-06,,5000.0,8.884049721062183,1.2444341592490673,96.22891828976572,0.10891864262521267,106.46683085337281,106.78085187450051,50,,,,,135.90135310271745,1.7696287768487196e-09,9.373153963749521e-15,,,,,,,,,,,,,,,,,,,1553.25,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
ivu06,/iridisfs/scratch/sc9c23/mps/ivu06.mps.gz,0,2,psipm-v3,optimal,1177,787239,8032303,off,off,1,1e-06,1e-06,5000.0,8.85704069584608,0.06884031184017658,159.5927784908563,0.0355484988540411,168.5543418880552,168.84458605013788,,104,0,90.21990526281297,8.875751135870814,135.9014793146253,1.3382960994956505e-07,5.99792377696632e-10,1177,787239,8032303,787239,,,,,,,,,,0,,0,,,1669.890625,True,psipm-v3-hsd-generic-2,,,,9.014692637222291e-07,1.5116475718990813e-10,3.3675986696076195e-10,0.9937510332575511,1.502696220113796e-10,1.86591406094929e-11,44,0,0,44,104,0.2364937385668656,generic-sparse,stable-active-column
ivu06,/iridisfs/scratch/sc9c23/mps/ivu06.mps.gz,0,3,highs-ipx,optimal,1177,787239,8032303,off,,1,1e-06,,5000.0,9.050102733075619,1.2726510260254145,402.0842953361571,0.11286546476185322,412.5202454999089,412.814972423017,91,,,,,135.90135718955656,1.9430285158605898e-10,1.9270560456005923e-11,,,,,,,,,,,,,,,,,,,915.0703125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
ivu59,/iridisfs/scratch/sc9c23/mps/ivu59.mps,0,1,psipm-v3,time-limit,3436,2569996,36186332,off,off,1,1e-06,1e-06,5000.0,15.016383634880185,0.28243510983884335,4994.657699799165,0.13806293159723282,5010.094736820087,5010.400959504768,,437,36531,404.8212730884552,3703.4915471710265,816.7077057883153,0.13850496975930415,7.015592694306051e-06,3436,2569996,36186332,2569996,,,,,,,,,,36531,,0,,,7885.52734375,True,psipm-v3-hsd-generic-2,,,time-limit; current proximal subproblem fails the natural-residual test: ratio 3.969e+00 >= 1,0.03977191434533223,4.996369884084995e-10,0.1259185025181955,0.9329043489310448,4.695354535437161e-10,-1.3518033413766574e-06,24,0,0,24,437,3.9686453556591017,generic-sparse,stable-active-column
ivu59,/iridisfs/scratch/sc9c23/mps/ivu59.mps,0,2,highs-ipx,time-limit,3436,2569996,36186332,off,,1,1e-06,,5000.0,14.924071848392487,5.468405909836292,4980.417098136619,0.3922587167471647,5001.202173059806,5001.498713651672,94,,,,,891.413009227122,4.888311977424564e-13,1.1842378929335002e-15,,,,,,,,,,,,,,,,,,,3536.33984375,True,1.15.1,HighsModelStatus.kTimeLimit,HighsStatus.kWarning,,,,,,,,,,,,,,,
ivu59,/iridisfs/scratch/sc9c23/mps/ivu59.mps,0,3,highs-hipo,optimal,3436,2569996,36186332,off,,1,1e-06,,5000.0,15.65387157164514,5.470700394362211,536.5549565646797,0.38004761561751366,558.0601150430739,558.5121166929603,44,,,,,884.4570871209793,6.571321709003541e-09,1.7751934240594377e-14,,,,,,,,,,,,,,,,,,,6070.046875,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
kottenpark09,/iridisfs/scratch/sc9c23/mps/kottenpark09.mps,0,1,highs-ipx,optimal,325547,2893026,13085485,off,,1,1e-06,,5000.0,24.725527377799153,2.4296702835708857,1075.9907461963594,0.388504134491086,1103.5347930826247,1103.8339733127505,37,,,,,179.00000076767765,3.615385996278647e-10,9.810605661186855e-10,,,,,,,,,,,,,,,,,,,2291.43359375,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
kottenpark09,/iridisfs/scratch/sc9c23/mps/kottenpark09.mps,0,2,highs-hipo,optimal,325547,2893026,13085485,off,,1,1e-06,,5000.0,24.59302408620715,2.40124049782753,3221.2345311529934,0.37967456318438053,3248.6090033445507,3248.9682348519564,27,,,,,178.9910540563674,2.8904745295556575e-07,1.1462311538560108e-10,,,,,,,,,,,,,,,,,,,17116.4765625,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
kottenpark09,/iridisfs/scratch/sc9c23/mps/kottenpark09.mps,0,3,psipm-v3,external-timeout,,,,off,,1,1e-06,,5000.0,,,,,5000.0,5120.131624817848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Command '['/home/sc9c23/.conda/envs/psipm-benchmark/bin/python', '/iridisfs/home/sc9c23/MF-PSIPM/batch_test_v3.py', '--worker', '--model', '/iridisfs/scratch/sc9c23/mps/kottenpark09.mps', '--method', 'psipm-v3', '--repeat-index', '0', '--order-position', '3', '--tol', '1e-06', '--time-limit', '5000.0', '--threads', '1', '--presolve', 'off', '--pc', '3', '--maxit', '500', '--inner-maxit', '3', '--core-factor', '1.0', '--max-core-factor', '3.0', '--retention', '0.9', '--factor-max-age', '2', '--core-max-age', '12', '--refresh-cg', '30', '--fill-weight', '0.2', '--cg-tol', '1e-07', '--cg-tol-max', '0.01', '--forcing-factor', '0.1', '--cg-maxit', '1000', '--retry-growth', '1.35', '--cholmod-order', 'best', '--low-rank-max-columns', '8', '--low-rank-min-nnz', '1024', '--low-rank-clique-ratio', '2.0', '--printlevel', '0', '--seed', '20260810']' timed out after 5120.0 seconds",,,,,,,,,,,,,,
L2CTA3D,/iridisfs/scratch/sc9c23/mps/L2CTA3D.mps,0,1,highs-hipo,HighsModelStatus.kNotset,210000,10000000,30000000,off,,1,1e-06,,5000.0,68.85832553729415,6.143890745937824,1198.9361540284008,0.011156711727380753,1273.9500386435539,1274.347411474213,-1,,,,,0.0,nan,nan,,,,,,,,,,,,,,,,,,,12333.14453125,True,1.15.1,HighsModelStatus.kNotset,HighsStatus.kError,,,,,,,,,,,,,,,
L2CTA3D,/iridisfs/scratch/sc9c23/mps/L2CTA3D.mps,0,2,psipm-v3,optimal,210000,10000000,30000000,off,off,1,1e-06,1e-06,5000.0,68.29853889159858,0.6976707708090544,3460.850072853267,0.3582420237362385,3530.204658884555,3530.5124528966844,,74,2827,2412.2413321249187,527.8342448901385,-5498028516889.703,1.6657354892567607e-08,8.471038670214857e-07,210000,8002135,24006405,8002135,,,,,,,,,,2827,,0,,,9927.5546875,True,psipm-v3-hsd-generic-2,,,,5.442678034098171e-10,0.0011255861814192941,2.6773010422968947e-08,0.15362107721262358,0.00017277472932101455,1.4216968421283103e-08,31,0,0,31,74,0.13506907228033097,generic-sparse,stable-active-column
L2CTA3D,/iridisfs/scratch/sc9c23/mps/L2CTA3D.mps,0,3,highs-ipx,infeasible,210000,10000000,30000000,off,,1,1e-06,,5000.0,68.36884432844818,6.253728367388248,942.9576983805746,1.2409420348703861,1018.8215561769903,1019.2614492811263,13,,,,,-5497893263267.412,1.8485641555973173e-09,2.8483285539710696e-10,,,,,,,,,,,,,,,,,,,7617.53125,True,1.15.1,HighsModelStatus.kInfeasible,HighsStatus.kOk,,,,,,,,,,,,,,,
rail03,/iridisfs/scratch/sc9c23/mps/rail03.mps,0,1,psipm-v3,optimal,253905,758775,1728451,off,off,1,1e-06,1e-07,5000.0,3.6652742009609938,1.1638949401676655,713.8114671390504,0.03214910998940468,718.6729567442089,719.1045356299728,,83,7046,276.716013494879,396.51196835003793,-920.2737530384888,1.2042292337656155e-07,1.0456207569308946e-09,253905,762932,1732608,762932,,,,,,,,,,7046,,0,,,2730.1796875,True,psipm-v3-hsd-generic-2,,,,1.968519357783205e-08,3.281705310892254e-11,3.240345482536323e-08,0.7306795645584029,2.3976073531026003e-11,1.0915864576915185e-12,46,0,0,46,83,0.12148048099638749,generic-sparse,stable-active-column
rail03,/iridisfs/scratch/sc9c23/mps/rail03.mps,0,2,highs-ipx,optimal,253905,758775,1728451,off,,1,1e-06,,5000.0,3.4287535902112722,0.41407654620707035,471.2421680968255,0.10757881961762905,475.19293320551515,475.49346248060465,89,,,,,-920.2737376577568,7.012335156986182e-10,5.294225644511712e-11,,,,,,,,,,,,,,,,,,,642.23828125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
rail03,/iridisfs/scratch/sc9c23/mps/rail03.mps,0,3,highs-hipo,optimal,253905,758775,1728451,off,,1,1e-06,,5000.0,3.421677513048053,0.413495359942317,284.5282987244427,0.10681121610105038,288.47080039419234,288.7744038570672,92,,,,,-920.2738514105476,1.960538875288855e-07,2.4299668485551805e-13,,,,,,,,,,,,,,,,,,,936.0078125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
rail2536,/iridisfs/scratch/sc9c23/mps/rail2536.gz,0,1,highs-ipx,optimal,2536,1081841,10993311,off,,1,1e-06,,5000.0,3.6447148472070694,1.688472805544734,303.7059269286692,0.1544464472681284,309.1939806006849,309.4839061535895,119,,,,,688.3992243635515,8.66190452697424e-12,1.326442659414321e-10,,,,,,,,,,,,,,,,,,,1179.90234375,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
rail2536,/iridisfs/scratch/sc9c23/mps/rail2536.gz,0,2,highs-hipo,optimal,2536,1081841,10993311,off,,1,1e-06,,5000.0,3.5419121962040663,1.6398937534540892,173.5304989553988,0.14898855052888393,178.86182440258563,179.17179790884256,65,,,,,688.3998281009862,1.3466201265188715e-08,1.7361445614483273e-11,,,,,,,,,,,,,,,,,,,2119.7578125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
rail2536,/iridisfs/scratch/sc9c23/mps/rail2536.gz,0,3,psipm-v3,time-limit,2536,1081841,10993311,off,off,1,1e-06,1e-06,5000.0,3.534616768360138,0.5451807864010334,4999.3985145594925,0.053057581186294556,5003.531512821093,5003.892630945891,,147,158338,45.677612299099565,4835.951147634536,688.398824876131,0.0204473411554556,6.299577156217614e-10,2536,1084377,10995847,1084377,,,,,,,,,,158338,,108,,,8749.29296875,True,psipm-v3-hsd-generic-2,,,one or more PCG solves stopped before their requested tolerance; current proximal subproblem fails the natural-residual test: ratio 2.706e+00 >= 1,2.3679820442661165e-09,8.426186771053063e-13,0.028023443345911208,0.8801362479781775,7.318947635846096e-13,-5.353550042474861e-13,29,0,0,29,147,2.7063911750949305,generic-sparse,stable-active-column
rail2586,/iridisfs/scratch/sc9c23/mps/rail2586.gz,0,1,highs-hipo,optimal,2586,920683,8008776,off,,1,1e-06,,5000.0,2.972575046122074,1.2405959460884333,105.41082237288356,0.12453892081975937,109.74907046929002,111.30196485668421,72,,,,,935.922013472304,1.842084484948714e-09,1.0164467415899973e-10,,,,,,,,,,,,,,,,,,,1660.515625,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
rail2586,/iridisfs/scratch/sc9c23/mps/rail2586.gz,0,2,psipm-v3,time-limit,2586,920683,8008776,off,off,1,1e-06,1e-06,5000.0,2.942410219460726,0.40272272750735283,4999.809176225215,0.03926828317344189,5003.193702017888,5003.502278596163,,186,211853,35.6658694203943,4848.093036821112,935.9210905996719,0.017173523832204107,3.268725060600264e-10,2586,923269,8011362,923269,,,,,,,,,,211853,,155,,,3022.01953125,True,psipm-v3-hsd-generic-2,,,time-limit; current proximal subproblem fails the natural-residual test: ratio 2.293e+00 >= 1,3.170662003540871e-08,3.509876027160121e-10,0.026031901522941048,0.8933498656036074,3.124325301010955e-10,1.1573393260801968e-11,28,0,0,28,186,2.2928584938565195,generic-sparse,stable-active-column
rail2586,/iridisfs/scratch/sc9c23/mps/rail2586.gz,0,3,highs-ipx,optimal,2586,920683,8008776,off,,1,1e-06,,5000.0,2.9835163801908493,1.2386548053473234,288.7933142744005,0.12841498479247093,293.1443330012262,293.4333339612931,137,,,,,935.9218676380086,5.551115123125783e-17,7.761021455128987e-11,,,,,,,,,,,,,,,,,,,997.24609375,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
rail4284,/iridisfs/scratch/sc9c23/mps/rail4284.gz,0,1,psipm-v3,time-limit,4284,1092610,11279748,off,off,1,1e-06,1e-06,5000.0,3.6471808087080717,0.6103406548500061,4999.285401005298,0.051315195858478546,5003.594361348078,5003.935528328642,,142,131623,208.6730056963861,4674.701751379296,1054.054118237027,0.007353895528157017,1.2007224844031346e-09,4284,1096894,11284032,1096894,,,,,,,,,,131623,,84,,,7800.6875,True,psipm-v3-hsd-generic-2,,,time-limit; current proximal subproblem fails the natural-residual test: ratio 1.601e+00 >= 1,4.5362639433058195e-08,5.363591139779372e-11,0.007466111830028311,0.8848655426439834,4.744693960770588e-11,-1.5598753104225614e-11,28,0,0,28,142,1.6010467271737374,generic-sparse,stable-active-column
rail4284,/iridisfs/scratch/sc9c23/mps/rail4284.gz,0,2,highs-ipx,optimal,4284,1092610,11279748,off,,1,1e-06,,5000.0,3.624377766624093,1.7307315710932016,388.9669697806239,0.160551767796278,394.4832010958344,394.7921071294695,125,,,,,1054.0544952551718,0.0,3.8000565657133244e-11,,,,,,,,,,,,,,,,,,,1171.62890625,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
rail4284,/iridisfs/scratch/sc9c23/mps/rail4284.gz,0,3,highs-hipo,optimal,4284,1092610,11279748,off,,1,1e-06,,5000.0,3.602062551304698,1.7241918556392193,210.49946858920157,0.15196509286761284,215.97823280096054,216.28875983133912,38,,,,,1054.0545829448206,5.975666905744248e-09,6.836753385641714e-13,,,,,,,,,,,,,,,,,,,2159.5625,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
rail4872,/iridisfs/scratch/sc9c23/mps/rail4872.gz,0,1,highs-ipx,optimal,4872,968672,9244093,off,,1,1e-06,,5000.0,3.195170009508729,1.4597360603511333,435.70883760228753,0.13415768183767796,440.4983153901994,440.7916595302522,154,,,,,1509.639405189863,7.624623155066956e-12,5.820766091346741e-11,,,,,,,,,,,,,,,,,,,1073.828125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
rail4872,/iridisfs/scratch/sc9c23/mps/rail4872.gz,0,2,highs-hipo,optimal,4872,968672,9244093,off,,1,1e-06,,5000.0,3.1702011320739985,1.4344917554408312,142.690858123824,0.13261275365948677,147.42871835641563,147.74055476114154,56,,,,,1509.639447318949,8.352309954773318e-10,7.92096314465122e-10,,,,,,,,,,,,,,,,,,,1832.265625,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,,,,,,,,,,,,,,,
rail4872,/iridisfs/scratch/sc9c23/mps/rail4872.gz,0,3,psipm-v3,time-limit,4872,968672,9244093,off,off,1,1e-06,1e-06,5000.0,3.1665910203009844,0.5175807625055313,4999.682360503823,0.05992118641734123,5003.426601083949,5003.75838287361,,180,169121,115.39263095147908,4760.493273217231,1509.6385430627624,0.013429673096909012,3.122988534114144e-10,4872,973544,9248965,973544,,,,,,,,,,169121,,108,,,5155.234375,True,psipm-v3-hsd-generic-2,,,time-limit; current proximal subproblem fails the natural-residual test: ratio 1.433e+00 >= 1,9.155019328138503e-09,9.63234150448771e-11,0.015150854755052167,0.8901612682227769,8.558842943590782e-11,5.108701202776967e-12,28,0,0,28,180,1.4331548171711028,generic-sparse,stable-active-column
