problem,path,repeat,rows,columns,nonzeros,presolve,threads,tolerance,time_limit,psipm_status,psipm_total_seconds,psipm_solve_seconds,psipm_objective,psipm_primal_infeasibility,psipm_dual_infeasibility,psipm_relative_gap,psipm_outer_iterations,psipm_inner_iterations,psipm_pcg_iterations,psipm_pcg_failures,psipm_factor_seconds,psipm_linear_solve_seconds,psipm_structure,psipm_preconditioner,psipm_peak_memory_mb,psipm_timing_consistent,ipx_status,ipx_total_seconds,ipx_solve_seconds,ipx_objective,ipx_primal_infeasibility,ipx_dual_infeasibility,ipx_iterations,ipx_peak_memory_mb,hipo_status,hipo_total_seconds,hipo_solve_seconds,hipo_objective,hipo_primal_infeasibility,hipo_dual_infeasibility,hipo_iterations,hipo_peak_memory_mb,v3_speedup_vs_ipx,v3_speedup_vs_hipo
s82,/iridisfs/scratch/sc9c23/mps/s82.mps,0,87878,1690631,7022608,off,1,1e-06,5000.0,time-limit,5005.2476096805185,4985.2399583384395,-34.56746465795077,3.266242346035142e-08,4.8541176404303574e-05,1.4254599651655364e-06,275,152066,152066,5,261.83475797250867,4443.150861699134,generic-sparse,stable-active-column,3077.7578125,True,postsolve-inaccurate,1872.9897928126156,1855.308703955263,-34.57970959686547,1.1481461115181445e-13,7.361191021072223e-06,160,1269.265625,unknown,704.0736117679626,686.9928506817669,-34.578457425716934,1.579289277131579e-14,3.268797577147403e-08,109,2468.24609375,,
scpj4scip,/iridisfs/scratch/sc9c23/mps/scpj4scip.mps.gz,0,1000,99947,999893,off,1,1e-06,5000.0,optimal,15.432580299675465,14.022226549685001,104.08383383813215,0.0,2.69316802082853e-12,3.655067010551373e-07,29,0,0,0,11.378835087642074,0.41417770832777023,generic-sparse,stable-active-column,284.91796875,True,optimal,4.18174864910543,2.6774775497615337,104.08379570048288,7.049916206369744e-15,1.407015318336832e-16,28,173.3671875,optimal,10.247229479253292,8.742755476385355,104.08380103882052,0.0,6.669252608916584e-14,33,252.55859375,0.27096885730724946,0.6639997511931808
scpk4,/iridisfs/scratch/sc9c23/mps/scpk4.mps.gz,0,2000,100000,1000000,off,1,1e-06,5000.0,optimal,23.543756667524576,22.092338038608432,280.54420584913015,1.601053289945753e-09,3.988888427484919e-13,2.0139950530045962e-08,40,1824,1824,0,8.77103042602539,10.393210407346487,generic-sparse,stable-active-column,455.6484375,True,optimal,4.529885418713093,3.0099393725395203,280.54420025735914,0.0,3.169302004553714e-14,25,174.55859375,optimal,13.311611164361238,11.792414966970682,280.544205007365,0.0,8.776961555785158e-13,28,288.984375,0.19240283029944225,0.5653987743902741
scpl4,/iridisfs/scratch/sc9c23/mps/scpl4.mps.gz,0,2000,200000,2000000,off,1,1e-06,5000.0,optimal,40.39866251684725,37.56862679310143,211.74223625392005,5.4184473963214685e-08,1.3680752360937294e-12,2.184269426768862e-08,48,2131,2131,0,11.154793843626976,19.260827887803316,generic-sparse,stable-active-column,663.42578125,True,optimal,10.216568067669868,7.183005373924971,211.7422317433914,0.0,1.407015318336832e-16,27,322.88671875,optimal,26.72173798829317,23.690571734681726,211.7422414877944,0.0,4.732561977068982e-13,31,446.49609375,0.25289372051387354,0.6614510561370575
scpm1,/iridisfs/scratch/sc9c23/mps/scpm1.mps,0,5000,500000,6250000,off,1,1e-06,5000.0,optimal,190.71165587939322,182.71578070893884,413.78233991088007,7.771489834995648e-08,3.6061802608973004e-12,6.181082736748128e-07,32,1691,1691,0,112.85436875745654,54.9467798974365,generic-sparse,stable-active-column,2126.65625,True,optimal,56.247110014781356,47.44633597135544,413.7820860223744,0.0,1.407015318336832e-16,28,901.32421875,optimal,140.38991640880704,131.34601132012904,413.7820894270782,0.0,8.442091910020992e-16,26,1317.375,0.2949327336885599,0.7361370534037529
scpn2,/iridisfs/scratch/sc9c23/mps/scpn2.mps.gz,0,5000,1000000,12500000,off,1,1e-06,5000.0,optimal,365.4050451852381,348.0905715152621,350.4095600362415,2.0031444447621283e-08,1.4293868618983877e-12,5.783736819913649e-07,48,2506,2506,0,174.27244991622865,128.8992658201605,generic-sparse,stable-active-column,3462.79296875,True,optimal,141.8016059808433,123.34798095747828,350.40935833719846,4.718447854656915e-15,1.407015318336832e-16,30,1613.203125,optimal,307.1643246859312,288.1302209496498,350.40937049557334,0.0,9.849107228357825e-16,30,2273.9375,0.3880669078035267,0.8406132557097497
set-cover-model,/iridisfs/scratch/sc9c23/mps/set-cover-model.mps.bz2,0,10000,1102008,20442268,off,1,1e-06,5000.0,time-limit,5089.03573471494,5047.283302482218,7632315410.640837,0.10980205433450929,3.7095225145512884e-07,0.007755092328472723,50,18155,18155,15,3107.880071505904,1882.6001939605922,generic-sparse,stable-active-column,9404.6796875,True,optimal,918.2300651241094,875.3142141364515,7581843449.3279915,7.593715656284417e-10,2.1315311684525403e-16,56,2050.5390625,optimal,814.3428513240069,770.179504847154,7581843420.316983,2.4654382979605316e-09,1.2564815308772869e-15,23,4064.71875,,
shs1042,/iridisfs/scratch/sc9c23/mps/shs1042.mps,0,133377,467589,1114011,off,1,1e-06,5000.0,iteration-limit,747.9230158161372,744.7597303707153,9323.754483318884,0.0016724354747520678,4.511074731379467e-05,0.14385215701758175,500,21412,21412,0,320.0790400970727,302.7711913008243,generic-sparse,stable-active-column,2849.22265625,True,optimal,224.1710323896259,221.49874475225806,9455.525948154478,7.459635021201355e-13,1.484179401777655e-11,94,406.55078125,optimal,124.3199618998915,121.64312835596502,9455.526096402278,1.2689343910729368e-12,1.0137415475457195e-12,113,701.1953125,,
supportcase12,/iridisfs/scratch/sc9c23/mps/supportcase12.mps,0,166781,799616,2334437,off,1,1e-06,5000.0,time-limit,5002.692361170426,4997.233896825463,-7660.48333296132,0.021576955074041452,8.943557570212368e-05,0.0006171849224774226,344,179509,179509,86,805.0646293237805,4028.8481649998575,generic-sparse,stable-active-column,8935.28515625,True,optimal,240.25130618736148,235.8607727456838,-7609.533053493911,1.6466191346949695e-13,1.3908646577028048e-09,34,624.05078125,HighsModelStatus.kSolveError,310.36297777853906,306.13049345463514,0.0,nan,nan,-1,1186.19921875,,
supportcase19,/iridisfs/scratch/sc9c23/mps/supportcase19.mps.gz,0,10713,1429098,4287094,off,1,1e-06,5000.0,time-limit,5004.731363330036,4997.319981630892,12684475.088484809,0.0019120716782648484,1.0129889343905794e-08,0.0002871400827317,192,328214,328214,288,82.85067908279598,4745.842187786475,generic-sparse,stable-active-column,2921.26953125,True,optimal,288.97627757303417,280.63285277225077,12677206.284661956,8.202016665011758e-15,7.19078270413152e-15,57,840.9453125,unknown,196.98882432468235,188.59815132804215,12714431.995055508,1.653708507556832e-05,1.490180681270404e-11,37,1760.90625,,
supportcase6,/iridisfs/scratch/sc9c23/mps/supportcase6.mps.gz,0,771,130052,584976,off,1,1e-06,5000.0,optimal,7.701337428763509,6.862171171233058,45090.7356766395,1.367379498518062e-08,2.5762951425936214e-12,8.468228137950449e-08,49,0,0,0,3.2791513577103615,0.343744495883584,generic-sparse,stable-active-column,221.90625,True,optimal,8.956334380432963,8.018180590122938,45090.73321208196,2.755741190796357e-10,5.363074312363513e-16,47,145.15234375,unknown,5.953439176082611,5.0009387489408255,36716.171442030325,1.8747613093187033e-05,1.5841739403717933e-13,33,223.203125,1.1629583125370149,
