problem,path,repeat,order_position,method,status,rows,columns,nonzeros,presolve,presolve_status,threads,tolerance,internal_tolerance,time_limit,rho,delta,rf,start_projection,start_bound_fraction,start_linear_tolerance,read_seconds,setup_seconds,solve_seconds,postsolve_seconds,total_seconds,process_seconds,iterations,outer_iterations,inner_iterations,factor_seconds,linear_solve_seconds,objective,primal_infeasibility,dual_infeasibility,canonical_rows,canonical_columns,canonical_nonzeros,active_columns,preconditioner_core_min,preconditioner_core_mean,preconditioner_core_max,preconditioner_refreshes,preconditioner_factorizations,preconditioner_retained_mean,preconditioner_symbolic_analyses,preconditioner_retries,preconditioner_full,preconditioner_condition_max,preconditioner_spectral_error_max,preconditioner_lag_bound_max,preconditioner_core_swaps,residual_replacements,residual_checks,krylov_stagnations,minres_fallbacks,minres_iterations,krylov_breakdowns,krylov_iteration_limits,pcg_iterations,pcg_max_iterations,pcg_failures,low_rank_columns,low_rank_candidate_edges,peak_memory_mb,timing_consistent,solver_version,model_status,run_status,error
ivu59,/iridisfs/scratch/sc9c23/mps/ivu59.mps,0,3,highs-hipo,optimal,3436,2569996,36186332,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,16.715951001271605,5.431270528584719,541.4633897673339,0.38327761739492416,563.9944575168192,564.5143446605653,44,,,,,884.4570871209793,6.571321709003541e-09,1.7751934240594377e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6070.66015625,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
kottenpark09,/iridisfs/scratch/sc9c23/mps/kottenpark09.mps,0,1,highs-ipx,optimal,325547,2893026,13085485,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,24.876229224726558,2.38495821505785,1083.749615240842,0.3901189751923084,1111.401310523972,1111.7435473967344,37,,,,,179.00000076767765,3.615385996278647e-10,9.810605661186855e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2289.59765625,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
kottenpark09,/iridisfs/scratch/sc9c23/mps/kottenpark09.mps,0,2,highs-hipo,optimal,325547,2893026,13085485,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,24.811749005690217,2.3609817158430815,3204.4620315246284,0.3981243558228016,3232.0334740858525,3232.3786562494934,27,,,,,178.9910540563674,2.8904745295556575e-07,1.1462311538560108e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17119.89453125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
kottenpark09,/iridisfs/scratch/sc9c23/mps/kottenpark09.mps,0,3,psipm-ssp,external-timeout,,,,off,,1,1e-06,,5000.0,,,,,,,,,,,5300.161274040118,5300.161274040118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Command '['/home/sc9c23/.conda/envs/psipm-benchmark/bin/python', '/iridisfs/home/sc9c23/MF-PSIPM/batch_test_spectral_preconditioner.py', '--worker', '--model', '/iridisfs/scratch/sc9c23/mps/kottenpark09.mps', '--method', 'psipm-ssp', '--repeat-index', '0', '--order-position', '3', '--tol', '1e-06', '--time-limit', '5000.0', '--threads', '1', '--presolve', 'off', '--pc', '3', '--rf', '1.0', '--start-projection', 'legacy', '--start-bound-fraction', '0.001', '--maxit', '160', '--inner-maxit', '100', '--core-factor', '1.0', '--max-core-factor', '3.0', '--retention', '0.9', '--factor-max-age', '2', '--core-max-age', '12', '--refresh-cg', '30', '--fill-weight', '0.2', '--cg-tol', '1e-07', '--cg-tol-max', '0.01', '--forcing-factor', '0.1', '--cg-maxit', '200', '--retry-growth', '1.35', '--matching-max-rows', '50000', '--matching-max-nnz', '25000000', '--matching-refresh-max-rows', '20000', '--backbone-max-age', '20', '--residual-score-weight', '0.0', '--swap-patience', '2', '--condition-limit', '1000000000000.0', '--lag-spectral-ratio', '100000000.0', '--residual-replacement', '100', '--residual-gap-tolerance', '0.1', '--stagnation-window', '3', '--stagnation-reduction', '0.8', '--corrector-tightening', '1.0', '--minres-maxit', '400', '--minres-max-dimension', '200000', '--cholmod-order', 'best', '--low-rank-max-columns', '8', '--low-rank-min-nnz', '1024', '--low-rank-clique-ratio', '2.0', '--printlevel', '0', '--seed', '20260810', '--no-weighted-backbone']' timed out after 5300.0 seconds"
L2CTA3D,/iridisfs/scratch/sc9c23/mps/L2CTA3D.mps,0,1,highs-hipo,HighsModelStatus.kNotset,210000,10000000,30000000,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,69.3957483638078,6.149390736594796,1215.0813648179173,0.011178338900208473,1290.6382412556559,1291.0994119383395,-1,,,,,0.0,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12333.0234375,True,1.15.1,HighsModelStatus.kNotset,HighsStatus.kError,
L2CTA3D,/iridisfs/scratch/sc9c23/mps/L2CTA3D.mps,0,2,psipm-ssp,optimal,210000,10000000,30000000,off,off,1,1e-06,1e-06,5000.0,,,1.0,legacy,0.001,,68.97939025238156,1.4223129469901323,4089.158832060173,0.3640193771570921,4159.9247122798115,4160.276147700846,,11,34,1865.598976880312,1986.9589555300772,-5498028568563.996,6.6204061965932975e-09,3.7707447860462875e-12,210000,8002135,24006405,630000,210000,317287.1538461539,630000,21,26,1.0,5,4,False,11345.15462478592,139.38920106469996,2068137596.1669958,0,0,319,0,0,0,0,0,14529,316,0,0,0,8962.3046875,True,psipm-spectral-stable-preconditioner-2,,,
L2CTA3D,/iridisfs/scratch/sc9c23/mps/L2CTA3D.mps,0,3,highs-ipx,infeasible,210000,10000000,30000000,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,69.33718336932361,6.167045893147588,956.964187618345,1.2944812048226595,1033.7632843162864,1034.1943581923842,13,,,,,-5497893263267.412,1.8485641555973173e-09,2.8483285539710696e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7618.62890625,True,1.15.1,HighsModelStatus.kInfeasible,HighsStatus.kOk,
rail03,/iridisfs/scratch/sc9c23/mps/rail03.mps,0,1,psipm-ssp,optimal,253905,758775,1728451,off,off,1,1e-06,1e-07,5000.0,,,1.0,legacy,0.001,,3.6621926445513964,0.9480805713683367,1721.1335914749652,0.023329367861151695,1725.7673456929624,1726.2176782097667,,23,49,421.0517005417496,1269.5746310260147,-920.2737633715976,3.813607568625699e-09,1.3465575213890714e-09,253905,762932,1732608,747565,253905,649135.7678571428,747565,22,38,0.994766277816488,19,4,False,64801.58134793613,1520.8618342147347,100000000.0,65711,0,326,0,0,0,0,5,22879,393,2,0,0,6007.96484375,True,psipm-spectral-stable-preconditioner-2,,,
rail03,/iridisfs/scratch/sc9c23/mps/rail03.mps,0,2,highs-ipx,optimal,253905,758775,1728451,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,3.5340841710567474,0.4140782319009304,476.76188270002604,0.11152749694883823,480.82194987125695,481.1319870278239,89,,,,,-920.2737376577568,7.012335156986182e-10,5.294225644511712e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.94921875,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
rail03,/iridisfs/scratch/sc9c23/mps/rail03.mps,0,3,highs-hipo,optimal,253905,758775,1728451,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,3.4859509766101837,0.41559656895697117,286.82307156175375,0.10972241871058941,290.8349117320031,291.1660941503942,92,,,,,-920.2738514105476,1.960538875288855e-07,2.4299668485551805e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938.84765625,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
rail2536,/iridisfs/scratch/sc9c23/mps/rail2536.gz,0,1,highs-ipx,optimal,2536,1081841,10993311,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,3.586281228810549,1.6654867716133595,303.4761672448367,0.16106532514095306,308.8895353693515,309.19537445902824,119,,,,,688.3992243635515,8.66190452697424e-12,1.326442659414321e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182.76171875,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
rail2536,/iridisfs/scratch/sc9c23/mps/rail2536.gz,0,2,highs-hipo,optimal,2536,1081841,10993311,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,3.5627294909209013,1.7048164773732424,173.89687376655638,0.15425671078264713,179.3193180989474,179.6587115507573,65,,,,,688.3998281009862,1.3466201265188715e-08,1.7361445614483273e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2118.3828125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
rail2536,/iridisfs/scratch/sc9c23/mps/rail2536.gz,0,3,psipm-ssp,ill-conditioned,2536,1081841,10993311,off,off,1,1e-06,1e-06,5000.0,,,1.0,legacy,0.001,,3.63501937687397,0.6973943337798119,937.3518730439246,0.047733036801218987,941.732165902853,942.0463449601084,,15,24,33.87414496950805,876.5304275043309,688.9400314155862,0.01698019106844406,0.00905235382358825,2536,1084377,10995847,7608,2536,6822.450549450549,7608,50,85,0.9996460235104471,20,4,False,24486.327717798817,1197.5396589724398,100000000.0,99,0,404,0,0,0,0,68,30288,400,65,0,0,1592.04296875,True,psipm-spectral-stable-preconditioner-2,,,
rail2586,/iridisfs/scratch/sc9c23/mps/rail2586.gz,0,1,highs-hipo,optimal,2586,920683,8008776,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,3.007526058703661,1.2625588830560446,105.64473587833345,0.1273864321410656,110.04278861172497,110.3817976154387,72,,,,,935.922013472304,1.842084484948714e-09,1.0164467415899973e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1663.421875,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
rail2586,/iridisfs/scratch/sc9c23/mps/rail2586.gz,0,2,psipm-ssp,time-limit,2586,920683,8008776,off,off,1,1e-06,1e-06,5000.0,,,1.0,legacy,0.001,,3.052965810522437,0.5099908299744129,4999.613306235522,0.03725675493478775,5003.213660975918,5003.525665707886,,18,250,109.8090845104307,4725.553539933637,935.9880134464345,0.0010677905220730644,0.0023652562940189342,2586,923269,8011362,7758,2586,7595.96862745098,7758,261,505,0.9998492719579367,19,4,False,143798.48004960228,4710.992265709794,100000000.0,195,0,2982,0,0,0,0,262,213908,400,258,0,0,1449.62890625,True,psipm-spectral-stable-preconditioner-2,,,
rail2586,/iridisfs/scratch/sc9c23/mps/rail2586.gz,0,3,highs-ipx,optimal,2586,920683,8008776,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,3.1315968576818705,1.2860939390957355,287.9933018684387,0.1348946187645197,292.54639409668744,292.851900273934,137,,,,,935.9218676380086,5.551115123125783e-17,7.761021455128987e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997.90625,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
rail4284,/iridisfs/scratch/sc9c23/mps/rail4284.gz,0,1,psipm-ssp,ill-conditioned,4284,1092610,11279748,off,off,1,1e-06,1e-06,5000.0,,,1.0,legacy,0.001,,3.609133629128337,0.761304035782814,1469.5050136279315,0.04942125454545021,1473.9250165950507,1474.234778355807,,16,30,275.9953009393066,1162.407001612708,1054.0975018886008,0.005480327724883771,0.006402614550801193,4284,1096894,11284032,12852,4284,11624.927835051547,12852,51,89,0.9998353649928121,15,4,False,44862.832873544474,12458.138337846609,100000000.0,82,0,469,0,0,0,0,69,34220,400,66,0,0,1947.7265625,True,psipm-spectral-stable-preconditioner-2,,,
rail4284,/iridisfs/scratch/sc9c23/mps/rail4284.gz,0,2,highs-ipx,optimal,4284,1092610,11279748,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,3.645066825672984,1.6916362438350916,389.5759456269443,0.16348027996718884,395.07665559090674,395.3835353720933,125,,,,,1054.0544952551718,0.0,3.8000565657133244e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170.73828125,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
rail4284,/iridisfs/scratch/sc9c23/mps/rail4284.gz,0,3,highs-hipo,optimal,4284,1092610,11279748,off,,1,1e-06,,5000.0,,,1.0,legacy,0.001,,3.6010062638670206,1.703567972406745,211.30109980143607,0.15607927180826664,216.76239405199885,217.1036759559065,38,,,,,1054.0545829448206,5.975666905744248e-09,6.836753385641714e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2167.2109375,True,1.15.1,HighsModelStatus.kOptimal,HighsStatus.kOk,
